Dates,S_Sup,S_Use
2013/4/16,3204,3080
2013/4/17,3204,3080
2013/4/18,3204,3080
2013/4/19,3204,3080
2013/4/22,3204,3080
2013/4/23,3204,3080
2013/4/24,3204,3080
2013/4/25,3204,3080
2013/4/26,3204,3080
2013/4/29,3204,3080
2013/4/30,3204,3080
2013/5/1,3204,3080
2013/5/2,3204,3080
2013/5/3,3204,3080
2013/5/6,3204,3080
2013/5/7,3204,3080
2013/5/8,3204,3080
2013/5/9,3204,3080
2013/5/10,3204,3080
2013/5/13,3204,3080
2013/5/14,3204,3080
2013/5/15,3204,3080
2013/5/16,3204,3080
2013/5/17,3204,3080
2013/5/20,3204,3080
2013/5/21,3204,3080
2013/5/22,3204,3080
2013/5/23,3204,3080
2013/5/24,3204,3080
2013/5/27,3204,3080
2013/5/28,3204,3080
2013/5/29,3204,3080
2013/5/30,3204,3080
2013/5/31,3530,3264
2013/6/3,3530,3264
2013/6/4,3530,3264
2013/6/5,3530,3264
2013/6/6,3530,3264
2013/6/7,3530,3264
2013/6/10,3530,3264
2013/6/11,3530,3264
2013/6/12,3530,3264
2013/6/13,3530,3264
2013/6/14,3530,3264
2013/6/17,3530,3264
2013/6/18,3530,3264
2013/6/19,3530,3264
2013/6/20,3530,3264
2013/6/21,3530,3264
2013/6/24,3530,3264
2013/6/25,3530,3264
2013/6/26,3530,3264
2013/6/27,3530,3264
2013/6/28,3530,3264
2013/7/1,3530,3264
2013/7/2,3530,3264
2013/7/3,3530,3264
2013/7/4,3530,3264
2013/7/5,3530,3264
2013/7/8,3530,3264
2013/7/9,3530,3264
2013/7/10,3530,3264
2013/7/11,3530,3264
2013/7/12,3530,3264
2013/7/15,3530,3264
2013/7/16,3530,3264
2013/7/17,3530,3264
2013/7/18,3530,3264
2013/7/19,3530,3264
2013/7/22,3530,3264
2013/7/23,3530,3264
2013/7/24,3530,3264
2013/7/25,3530,3264
2013/7/26,3530,3264
2013/7/29,3530,3264
2013/7/30,3530,3264
2013/7/31,3560,3264
2013/8/1,3560,3264
2013/8/2,3560,3264
2013/8/5,3560,3264
2013/8/6,3560,3264
2013/8/7,3560,3264
2013/8/8,3560,3264
2013/8/9,3560,3264
2013/8/12,3560,3264
2013/8/13,3560,3264
2013/8/14,3560,3264
2013/8/15,3560,3264
2013/8/16,3560,3264
2013/8/19,3560,3264
2013/8/20,3560,3264
2013/8/21,3560,3264
2013/8/22,3560,3264
2013/8/23,3560,3264
2013/8/26,3560,3264
2013/8/27,3560,3264
2013/8/28,3560,3264
2013/8/29,3560,3264
2013/8/30,3560,3264
2013/9/2,3396,3176
2013/9/3,3396,3176
2013/9/4,3396,3176
2013/9/5,3396,3176
2013/9/6,3396,3176
2013/9/9,3396,3176
2013/9/10,3396,3176
2013/9/11,3396,3176
2013/9/12,3396,3176
2013/9/13,3396,3176
2013/9/16,3396,3176
2013/9/17,3396,3176
2013/9/18,3396,3176
2013/9/19,3396,3176
2013/9/20,3396,3176
2013/9/23,3396,3176
2013/9/24,3396,3176
2013/9/25,3396,3176
2013/9/26,3396,3176
2013/9/27,3396,3176
2013/9/30,3289,3140
2013/10/1,3289,3140
2013/10/2,3289,3140
2013/10/3,3289,3140
2013/10/4,3289,3140
2013/10/7,3289,3140
2013/10/8,3289,3140
2013/10/9,3289,3140
2013/10/10,3289,3140
2013/10/11,3289,3140
2013/10/14,3289,3140
2013/10/15,3289,3140
2013/10/16,3289,3140
2013/10/17,3289,3140
2013/10/18,3289,3140
2013/10/21,3289,3140
2013/10/22,3289,3140
2013/10/23,3289,3140
2013/10/24,3289,3140
2013/10/25,3289,3140
2013/10/28,3289,3140
2013/10/29,3289,3140
2013/10/30,3289,3140
2013/10/31,3289,3140
2013/11/1,3289,3140
2013/11/4,3289,3140
2013/11/5,3289,3140
2013/11/6,3289,3140
2013/11/7,3289,3140
2013/11/8,3289,3140
2013/11/11,3289,3140
2013/11/12,3289,3140
2013/11/13,3289,3140
2013/11/14,3289,3140
2013/11/15,3289,3140
2013/11/18,3289,3140
2013/11/19,3289,3140
2013/11/20,3289,3140
2013/11/21,3289,3140
2013/11/22,3289,3140
2013/11/25,3289,3140
2013/11/26,3289,3140
2013/11/27,3289,3140
2013/11/28,3289,3140
2013/11/29,3289,3140
2013/12/2,3413,3243
2013/12/3,3413,3243
2013/12/4,3413,3243
2013/12/5,3413,3243
2013/12/6,3413,3243
2013/12/9,3413,3243
2013/12/10,3413,3243
2013/12/11,3413,3243
2013/12/12,3413,3243
2013/12/13,3413,3243
2013/12/16,3413,3243
2013/12/17,3413,3243
2013/12/18,3413,3243
2013/12/19,3413,3243
2013/12/20,3413,3243
2013/12/23,3413,3243
2013/12/24,3413,3243
2013/12/25,3413,3243
2013/12/26,3413,3243
2013/12/27,3413,3243
2013/12/30,3413,3243
2013/12/31,3423,3274
2014/1/1,3423,3274
2014/1/2,3423,3274
2014/1/3,3423,3274
2014/1/6,3423,3274
2014/1/7,3423,3274
2014/1/8,3423,3274
2014/1/9,3423,3274
2014/1/10,3423,3274
2014/1/13,3423,3274
2014/1/14,3423,3274
2014/1/15,3423,3274
2014/1/16,3423,3274
2014/1/17,3423,3274
2014/1/20,3423,3274
2014/1/21,3423,3274
2014/1/22,3423,3274
2014/1/23,3423,3274
2014/1/24,3423,3274
